!XYDATA  NAC Nacalf NaCaAlF 11mm 14/14 open 10' 1 VacuumVessel 
!INTER  1 1 0 0 
!TEMP  123.800003 124.000000 1.000000
! d20 25-Nov-08 14:08:06 User Brunel   L.C.Hansen  Run 645226*d20_2008_11_6394
! d20 25-Nov-08 14:08:06 User Brunel   L.C.Hansen  Run 645226*d20_2008_11_6394
! Monitor/counts, Counting time/sec:  246531.000000 30.000000
  73.8743         86968.695     292.156
  73.9743         89945.266     300.153
  74.0743         90856.008     305.641
  74.1743         86705.852     295.685
  74.2743         80136.273     286.840
  74.3743         67845.555     258.469
  74.4743         53555.844     230.189
  74.5743         38391.398     193.489
  74.6743         25319.529     157.617
  74.7743         15296.079     122.404
  74.8743          9196.077      94.820
  74.9743          6624.215      80.384
  75.0743          5510.840      73.263
  75.1743          5174.066      70.924
  75.2743          5111.573      70.722
  75.3743          5097.847      70.411
  75.4743          4962.422      69.748
  75.5743          4784.816      68.188
  75.6743          4891.067      68.970
  75.7743          4913.693      69.132
  75.8743          4699.555      67.600
  75.9743          4701.443      68.115
  76.0743          4697.016      67.224
  76.1743          4543.979      66.337
  76.2743          4693.200      67.266
  76.3743          4582.270      68.377
  76.4743          4708.073      66.722
  76.5743          4991.423      68.517
  76.6743          5285.982      69.862
  76.7743          6067.435      66.221
  76.8743          6234.397     146.824
  76.9743          7466.301      80.907
  77.0743          8470.078      82.581
  77.1743          9443.801      89.673
  77.2743          9341.799     153.849
  77.3743         10467.386      92.986
  77.4743         10866.516     102.034
  77.5743         11181.507     103.961
  77.6743         10992.834     103.394
  77.7743         10939.939     103.683
  77.8743         10052.750      98.789
  77.9743          9399.092      96.483
  78.0743          8084.176      89.166
  78.1743          7020.807      83.088
  78.2743          6038.377      76.650
  78.3743          5371.164      72.836
  78.4743          5069.759      70.563
  78.5743          4971.377      69.736
  78.6743          4824.945      68.781
  78.7743          4843.319      69.064
  78.8743          4791.015      68.415
  78.9743          4842.360      68.812
  79.0743          4907.346      69.449
  79.1743          4937.643      69.620
  79.2743          5062.663      70.492
  79.3743          5430.828      73.116
  79.4743          6800.483      81.561
  79.5743          9820.282      98.588
  79.6743         14684.795     119.559
  79.7743         21557.773     146.172
  79.8743         30156.021     171.983
  79.9743         39752.586     197.671
  80.0743         48999.273     220.964
  80.1743         57541.043     238.476
  80.2743         63505.230     251.270
  80.3743         68280.688     261.746
  80.4743         71583.359     272.691
  80.5743         72797.055     274.632
  80.6743         72275.773     270.060
  80.7743         69462.766     263.173
  80.8743         63809.734     251.582
  80.9743         55846.633     236.847
  81.0743         46129.398     212.594
  81.1743         35347.676     187.374
  81.2743         25344.340     158.610
  81.3743         17609.379     131.943
  81.4743         11695.428     107.347
  81.5743          8079.996      89.700
  81.6743          6273.740      78.643
  81.7743          5389.436      72.897
  81.8743          5048.322      70.684
  81.9743          5048.989      70.700
  82.0743          5102.738      70.981
  82.1743          4959.756      69.932
  82.2743          4967.356      70.291
  82.3743          5044.406      70.733
  82.4743          5217.518      71.845
  82.5743          5655.783      74.716
  82.6743          7070.194      83.902
  82.7743          9610.741      97.512
  82.8743         13471.163     114.753
  82.9743         18733.174     136.797
  83.0743         24856.330     157.155
  83.1743         30761.066     174.632
  83.2743         37043.961     192.731
  83.3743         42563.770     206.145
  83.4743         46367.621     215.528
  83.5743         49638.078     224.199
  83.6743         51552.109     232.765
  83.7743         52639.598     232.705
  83.8743         53221.434     232.096
  83.9743         51402.410     226.335
  84.0743         48293.430     219.973
  84.1743         43696.414     208.114
  84.2743         38256.441     195.171
